,MAIN,SQO,SQC,END,SEMICOLON,ID,ASSIGNOP,SIZE,IF,OP,CL,ENDIF,ELSE,READ,PRINT,NUM,COMMA,PLUS,MINUS,MUL,DIV,NOT,AND,OR,LT,LE,EQ,GT,GE,NE,FUNCTION,FUNID,INT,REAL,STRING,MATRIX,RNUM,STR,,,,,,,
<mainFunction>,<mainFunction> ==> MAIN SQO SQC <stmtsAndFunctionDefs> END ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<stmtsAndFunctionDefs>,,<stmtsAndFunctionDefs> ==> <stmtOrFunctionDef> <stmtsAndFunctionDefsOrEmpty> ,,,,<stmtsAndFunctionDefs> ==> <stmtOrFunctionDef> <stmtsAndFunctionDefsOrEmpty> ,,,<stmtsAndFunctionDefs> ==> <stmtOrFunctionDef> <stmtsAndFunctionDefsOrEmpty> ,,,,,<stmtsAndFunctionDefs> ==> <stmtOrFunctionDef> <stmtsAndFunctionDefsOrEmpty> ,<stmtsAndFunctionDefs> ==> <stmtOrFunctionDef> <stmtsAndFunctionDefsOrEmpty> ,,,,,,,,,,,,,,,,<stmtsAndFunctionDefs> ==> <stmtOrFunctionDef> <stmtsAndFunctionDefsOrEmpty> ,<stmtsAndFunctionDefs> ==> <stmtOrFunctionDef> <stmtsAndFunctionDefsOrEmpty> ,<stmtsAndFunctionDefs> ==> <stmtOrFunctionDef> <stmtsAndFunctionDefsOrEmpty> ,<stmtsAndFunctionDefs> ==> <stmtOrFunctionDef> <stmtsAndFunctionDefsOrEmpty> ,<stmtsAndFunctionDefs> ==> <stmtOrFunctionDef> <stmtsAndFunctionDefsOrEmpty> ,<stmtsAndFunctionDefs> ==> <stmtOrFunctionDef> <stmtsAndFunctionDefsOrEmpty> ,,,,,,,,,
<stmtOrFunctionDef>,,<stmtOrFunctionDef> ==> <stmt> ,,,,<stmtOrFunctionDef> ==> <stmt> ,,,<stmtOrFunctionDef> ==> <stmt> ,,,,,<stmtOrFunctionDef> ==> <stmt> ,<stmtOrFunctionDef> ==> <stmt> ,,,,,,,,,,,,,,,,<stmtOrFunctionDef> ==> <functionDef> ,<stmtOrFunctionDef> ==> <stmt> ,<stmtOrFunctionDef> ==> <stmt> ,<stmtOrFunctionDef> ==> <stmt> ,<stmtOrFunctionDef> ==> <stmt> ,<stmtOrFunctionDef> ==> <stmt> ,,,,,,,,,
<stmtsAndFunctionDefsOrEmpty>,,<stmtsAndFunctionDefsOrEmpty> ==> <stmtsAndFunctionDefs> ,,<stmtsAndFunctionDefsOrEmpty> ==> _eps_ ,,<stmtsAndFunctionDefsOrEmpty> ==> <stmtsAndFunctionDefs> ,,,<stmtsAndFunctionDefsOrEmpty> ==> <stmtsAndFunctionDefs> ,,,,,<stmtsAndFunctionDefsOrEmpty> ==> <stmtsAndFunctionDefs> ,<stmtsAndFunctionDefsOrEmpty> ==> <stmtsAndFunctionDefs> ,,,,,,,,,,,,,,,,<stmtsAndFunctionDefsOrEmpty> ==> <stmtsAndFunctionDefs> ,<stmtsAndFunctionDefsOrEmpty> ==> <stmtsAndFunctionDefs> ,<stmtsAndFunctionDefsOrEmpty> ==> <stmtsAndFunctionDefs> ,<stmtsAndFunctionDefsOrEmpty> ==> <stmtsAndFunctionDefs> ,<stmtsAndFunctionDefsOrEmpty> ==> <stmtsAndFunctionDefs> ,<stmtsAndFunctionDefsOrEmpty> ==> <stmtsAndFunctionDefs> ,,,,,,,,,
<stmt>,,<stmt> ==> <assignmentStmt> ,,,,<stmt> ==> <assignmentStmt> ,,,<stmt> ==> <conditionalStmt> ,,,,,<stmt> ==> <ioStmt> ,<stmt> ==> <ioStmt> ,,,,,,,,,,,,,,,,,<stmt> ==> <funcStmt> ,<stmt> ==> <declarationStmt> ,<stmt> ==> <declarationStmt> ,<stmt> ==> <declarationStmt> ,<stmt> ==> <declarationStmt> ,,,,,,,,,
<functionDef>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<functionDef> ==> FUNCTION SQO <parameterList> SQC ASSIGNOP FUNID SQO <parameterList> SQC <stmtsAndFunctionDefs> END SEMICOLON ,,,,,,,,,,,,,,
<declarationStmt>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<declarationStmt> ==> <type> <idList> SEMICOLON ,<declarationStmt> ==> <type> <idList> SEMICOLON ,<declarationStmt> ==> <type> <idList> SEMICOLON ,<declarationStmt> ==> <type> <idList> SEMICOLON ,,,,,,,,,
<assignmentStmt>,,<assignmentStmt> ==> SQO <idList> SQC ASSIGNOP <rightHandSideOfTuple> SEMICOLON ,,,,<assignmentStmt> ==> ID ASSIGNOP <rightHandSideOfId> SEMICOLON ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<conditionalStmt>,,,,,,,,,<conditionalStmt> ==> IF OP <booleanExpression> CL <stmt> <otherStmts> <elseStmt> ENDIF SEMICOLON ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<ioStmt>,,,,,,,,,,,,,,<ioStmt> ==> READ OP ID CL SEMICOLON ,<ioStmt> ==> PRINT OP ID CL SEMICOLON ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<funcStmt>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<funcStmt> ==> <funCall> SEMICOLON ,,,,,,,,,,,,,
<otherStmts>,,<otherStmts> ==> <stmt> <otherStmts> ,,,,<otherStmts> ==> <stmt> <otherStmts> ,,,<otherStmts> ==> <stmt> <otherStmts> ,,,<otherStmts> ==> _eps_ ,<otherStmts> ==> _eps_ ,<otherStmts> ==> <stmt> <otherStmts> ,<otherStmts> ==> <stmt> <otherStmts> ,,,,,,,,,,,,,,,,,<otherStmts> ==> <stmt> <otherStmts> ,<otherStmts> ==> <stmt> <otherStmts> ,<otherStmts> ==> <stmt> <otherStmts> ,<otherStmts> ==> <stmt> <otherStmts> ,<otherStmts> ==> <stmt> <otherStmts> ,,,,,,,,,
<funCall>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<funCall> ==> FUNID OP <funIdList> CL ,,,,,,,,,,,,,
<type>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<type> ==> INT ,<type> ==> REAL ,<type> ==> STRING ,<type> ==> MATRIX ,,,,,,,,,
<idList>,,,,,,<idList> ==> ID <moreIds> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
