Lexeme              Line      Token               Parent Node                   Leaf      Node                          
_main                    1         MAIN                <mainFunction>                Yes       MAIN                          
---                      ---       ---                 ROOT                          No        <mainFunction>                
[                        1         SQO                 <mainFunction>                Yes       SQO                           
]                        1         SQC                 <mainFunction>                Yes       SQC                           
int                      2         INT                 <type>                        Yes       INT                           
---                      ---       ---                 <declarationStmt>             No        <type>                        
---                      ---       ---                 <stmt>                        No        <declarationStmt>             
a                        2         ID                  <idList>                      Yes       ID                            
---                      ---       ---                 <declarationStmt>             No        <idList>                      
,                        2         COMMA               <moreIds>                     Yes       COMMA                         
---                      ---       ---                 <idList>                      No        <moreIds>                     
b                        2         ID                  <idList>                      Yes       ID                            
---                      ---       ---                 <moreIds>                     No        <idList>                      
---                      ---       _eps_               <moreIds>                     Yes       _eps_                         
---                      ---       ---                 <idList>                      No        <moreIds>                     
;                        2         SEMICOLON           <declarationStmt>             Yes       SEMICOLON                     
---                      ---       ---                 <stmtOrFunctionDef>           No        <stmt>                        
---                      ---       ---                 <stmtsAndFunctionDefs>        No        <stmtOrFunctionDef>           
---                      ---       ---                 <mainFunction>                No        <stmtsAndFunctionDefs>        
a                        3         ID                  <assignmentStmt>              Yes       ID                            
---                      ---       ---                 <stmt>                        No        <assignmentStmt>              
=                        3         ASSIGNOP            <assignmentStmt>              Yes       ASSIGNOP                      
10                       3         NUM                 <var>                         Yes       NUM                           
---                      ---       ---                 <factor>                      No        <var>                         
---                      ---       ---                 <term>                        No        <factor>                      
---                      ---       ---                 <arithmeticExpression>        No        <term>                        
---                      ---       _eps_               <termOps>                     Yes       _eps_                         
---                      ---       ---                 <term>                        No        <termOps>                     
---                      ---       ---                 <rightHandSideOfId>           No        <arithmeticExpression>        
---                      ---       _eps_               <arithmeticExpressionOps>     Yes       _eps_                         
---                      ---       ---                 <arithmeticExpression>        No        <arithmeticExpressionOps>     
---                      ---       ---                 <assignmentStmt>              No        <rightHandSideOfId>           
;                        3         SEMICOLON           <assignmentStmt>              Yes       SEMICOLON                     
---                      ---       ---                 <stmtOrFunctionDef>           No        <stmt>                        
---                      ---       ---                 <stmtsAndFunctionDefs>        No        <stmtOrFunctionDef>           
---                      ---       ---                 <stmtsAndFunctionDefsOrEmpty> No        <stmtsAndFunctionDefs>        
b                        4         ID                  <assignmentStmt>              Yes       ID                            
---                      ---       ---                 <stmt>                        No        <assignmentStmt>              
=                        4         ASSIGNOP            <assignmentStmt>              Yes       ASSIGNOP                      
"nothing"                4         STR                 <var>                         Yes       STR                           
---                      ---       ---                 <factor>                      No        <var>                         
